date,Count,avgTmax,avgTmin,totPrecip
2009-10-10,131.0,67.71428571428571,54.0,3.7799999999999994
2009-10-17,161.0,53.57142857142857,41.714285714285715,2.9200000000000004
2009-10-24,394.0,62.285714285714285,47.285714285714285,3.3100000000000005
2009-10-31,837.0,60.142857142857146,50.57142857142857,3.5399999999999996
2009-11-07,1365.0,54.42857142857143,41.857142857142854,2.93
2009-11-14,2632.0,60.0,49.285714285714285,3.45
2009-11-21,2246.0,58.57142857142857,47.42857142857143,3.32
2009-11-28,1696.0,53.0,45.857142857142854,3.2100000000000004
2009-12-05,1030.0,54.57142857142857,40.142857142857146,2.81
2009-12-12,628.0,40.857142857142854,29.285714285714285,2.05
2009-12-19,592.0,40.42857142857143,28.714285714285715,2.01
2009-12-26,374.0,38.142857142857146,26.571428571428573,1.8599999999999999
2010-01-02,363.0,38.57142857142857,26.285714285714285,1.8399999999999999
2010-01-09,301.0,30.857142857142858,21.857142857142858,1.53
2010-01-16,261.0,38.57142857142857,26.571428571428573,1.8599999999999999
2010-01-23,247.0,44.285714285714285,33.857142857142854,2.37
2010-01-30,200.0,40.0,28.0,1.9599999999999997
2010-02-06,185.0,34.714285714285715,24.571428571428573,1.72
2010-02-13,123.0,36.142857142857146,25.142857142857142,1.7600000000000002
2010-02-20,100.0,39.142857142857146,30.285714285714285,2.12
2010-02-27,67.0,40.0,30.714285714285715,2.15
2010-03-06,45.0,46.57142857142857,34.285714285714285,2.4
2010-03-13,45.0,54.0,40.714285714285715,2.85
2010-03-20,36.0,62.857142857142854,45.857142857142854,3.21
2010-03-27,32.0,56.0,42.857142857142854,3.0
2010-04-03,28.0,59.142857142857146,44.714285714285715,3.13
2010-04-10,20.0,75.85714285714286,52.42857142857143,3.67
2010-04-17,10.0,64.28571428571429,48.285714285714285,3.38
2010-04-24,17.0,66.71428571428571,47.0,3.29
2010-05-01,309.0,64.42857142857143,48.57142857142857,3.4000000000000004
2010-05-08,11.0,79.42857142857143,59.0,4.13
2010-05-15,6.0,62.42857142857143,47.142857142857146,3.3000000000000003
2010-05-22,20.0,72.85714285714286,54.57142857142857,3.8199999999999994
2010-10-09,14.0,65.71428571428571,52.857142857142854,3.7
2010-10-16,21.0,65.0,50.57142857142857,3.5399999999999996
2010-10-23,19.0,60.857142857142854,47.285714285714285,3.31
2010-10-30,29.0,68.14285714285714,54.285714285714285,3.8000000000000007
2010-11-06,24.0,52.142857142857146,41.142857142857146,2.8800000000000003
2010-11-13,67.0,55.42857142857143,42.285714285714285,2.96
2010-11-20,104.0,56.42857142857143,46.42857142857143,3.25
2010-11-27,120.0,52.142857142857146,40.857142857142854,2.86
2010-12-04,162.0,47.714285714285715,36.0,2.52
2010-12-11,236.0,36.285714285714285,28.0,1.9599999999999997
2010-12-18,500.0,36.714285714285715,24.857142857142858,1.74
2010-12-25,789.0,36.714285714285715,27.857142857142858,1.9500000000000002
2011-01-01,812.0,38.714285714285715,28.571428571428573,2.0
2011-01-08,1156.0,37.714285714285715,28.0,1.9600000000000002
2011-01-15,1081.0,32.42857142857143,22.285714285714285,1.5599999999999998
2011-01-22,1145.0,33.857142857142854,23.571428571428573,1.65
2011-01-29,988.0,32.285714285714285,22.428571428571427,1.57
2011-02-05,905.0,35.57142857142857,25.571428571428573,1.79
2011-02-12,835.0,38.0,25.285714285714285,1.7699999999999998
2011-02-19,903.0,53.285714285714285,33.0,2.31
2011-02-26,747.0,42.42857142857143,25.285714285714285,1.7699999999999998
2011-03-05,708.0,49.142857142857146,32.0,2.24
2011-03-12,439.0,52.0,37.57142857142857,2.63
2011-03-19,323.0,57.57142857142857,40.42857142857143,2.83
2011-03-26,302.0,44.57142857142857,32.285714285714285,2.26
2011-04-02,227.0,47.714285714285715,33.0,2.31
2011-04-09,197.0,57.42857142857143,41.142857142857146,2.88
2011-04-16,82.0,62.714285714285715,44.857142857142854,3.14
2011-04-23,102.0,59.57142857142857,45.0,3.15
2011-04-30,30.0,74.42857142857143,55.714285714285715,3.9000000000000004
2011-05-07,16.0,68.57142857142857,50.285714285714285,3.5200000000000005
2011-05-14,19.0,70.85714285714286,53.142857142857146,3.72
2011-05-21,16.0,67.85714285714286,55.57142857142857,3.89
2011-10-08,8.0,66.57142857142857,49.857142857142854,3.49
2011-10-15,8.0,71.71428571428571,58.57142857142857,4.1000000000000005
2011-10-22,8.0,63.42857142857143,53.714285714285715,3.76
2011-10-29,14.0,57.0,44.0,3.0799999999999996
2011-11-05,7.0,53.142857142857146,40.0,2.8
2011-11-12,13.0,60.142857142857146,44.857142857142854,3.1400000000000006
2011-11-19,12.0,57.714285714285715,46.57142857142857,3.26
2011-11-26,16.0,58.142857142857146,44.285714285714285,3.1
2011-12-03,12.0,57.142857142857146,44.285714285714285,3.1
2011-12-10,21.0,54.42857142857143,41.57142857142857,2.9099999999999997
2011-12-17,14.0,48.57142857142857,35.57142857142857,2.4899999999999998
2011-12-24,19.0,47.285714285714285,35.0,2.45
2011-12-31,16.0,48.714285714285715,35.0,2.4499999999999997
2012-01-07,17.0,45.285714285714285,30.0,2.1
2012-01-14,32.0,44.142857142857146,32.857142857142854,2.3000000000000003
2012-01-21,32.0,39.0,22.285714285714285,1.5599999999999998
2012-01-28,27.0,47.0,34.42857142857143,2.4099999999999997
2012-02-04,37.0,49.285714285714285,36.285714285714285,2.54
2012-02-11,57.0,43.857142857142854,33.0,2.31
2012-02-18,80.0,44.42857142857143,33.57142857142857,2.35
2012-02-25,118.0,48.857142857142854,36.57142857142857,2.56
2012-03-03,93.0,47.857142857142854,36.42857142857143,2.55
2012-03-10,158.0,53.285714285714285,35.0,2.45
